MJN Tarragona  ngguest10
ER  CESGA      ngguest11
LP  STFC       ngguest12
ZW  Cambridge  ngguest13
NB  Reading    ngguest14
VK  Canada     ngguest15
TS  Cambridge  ngguest16
ND  Belfast    ngguest17
MWQ Lodon      ngguest18
SMM Sichuan    ngguest19
LJC Surrey     ngguest20
LR  Belfast    ngguest21
CB  London     ngguest22
DP  Plymouth   ngguest23
RL  Edinburgh  ngguest24
KA  Istanbul   ngguest25
YA  Lancaster  ngguest26
MR  Edinburgh  ngguest27
NM  Abertay    ngguest28
NT  Edinburgh  ngguest29
LT  Inria      ngguest30
JP  Exeter     ngguest31
EB  Exeter     ngguest32
KM  London     ngguest33
LC  Evora      ngguest34
TH  Oxford     ngguest35
BT  Swansea    ngguest36
CC  Lancaster  ngguest37
GID Istanbul   ngguest38
SOT UCD        ngguest39
ZL  Eindhoven  ngguest40
CC  Julich     ngguest41
DG  Bologna    ngguest42
CDP London     ngguest43
